length_mm,width_mm,height_mm,torque_nm,battery_type,seats
4385,1795,1635,120.0,Lithium-ion,5
4650,1934,1665,260.0,Lithium-ion,5
4650,1934,1665,260.0,Lithium-ion,5
4151,1790,1534,260.0,Lithium-ion,5
4983,1920,1890,270.0,Lithium-ion,9
4983,1920,1890,270.0,Lithium-ion,9
5333,1920,1890,270.0,Lithium-ion,9
5333,1920,1890,260.0,Lithium-ion,9
4304,1775,1523,260.0,Lithium-ion,5
4304,1775,1523,260.0,Lithium-ion,5
4055,1765,1430,260.0,Lithium-ion,5
4055,1765,1430,260.0,Lithium-ion,5
4542,1895,1641,345.0,Lithium-ion,5
4542,1895,1641,511.0,Lithium-ion,5
4542,1895,1641,345.0,Lithium-ion,5
4367,1852,1441,260.0,Lithium-ion,5
4636,1852,1442,260.0,Lithium-ion,5
4687,1859,1478,345.0,Lithium-ion,5
4791,1895,1694,345.0,Lithium-ion,7
4791,1895,1694,511.0,Lithium-ion,7
4791,1895,1694,345.0,Lithium-ion,7
4403,1921,1818,270.0,Lithium-ion,5
4755,1921,1837,270.0,Lithium-ion,7
4983,1920,1890,270.0,Lithium-ion,9
4983,1920,1890,270.0,Lithium-ion,9
5333,1920,1890,270.0,Lithium-ion,9
5333,1920,1890,270.0,Lithium-ion,9
4606,1859,1479,740.0,Lithium-ion,5
4606,1859,1473,740.0,Lithium-ion,5
4606,1859,1479,490.0,Lithium-ion,5
4606,1859,1479,490.0,Lithium-ion,5
4900,1968,1614,840.0,Lithium-ion,5
4900,1968,1614,910.0,Lithium-ion,5
4900,1968,1614,490.0,Lithium-ion,5
4839,2008,1544,686.0,Lithium-ion,5
4839,2008,1544,343.0,Lithium-ion,5
4784,1938,1622,650.0,Lithium-ion,5
4784,1938,1622,820.0,Lithium-ion,5
4784,1938,1623,563.0,Lithium-ion,5
4784,1938,1621,1001.0,Lithium-ion,5
4963,1966,1379,410.0,Lithium-ion,5
4963,1966,1379,585.0,Lithium-ion,5
4974,1967,1409,610.0,Lithium-ion,5
4963,1966,1379,610.0,Lithium-ion,5
4963,1966,1379,695.0,Lithium-ion,5
4974,1967,1409,710.0,Lithium-ion,5
4963,1966,1379,710.0,Lithium-ion,5
4963,1966,1390,710.0,Lithium-ion,5
4963,1966,1390,695.0,Lithium-ion,5
4963,1966,1381,790.0,Lithium-ion,5
4963,1966,1392,790.0,Lithium-ion,5
4963,1966,1379,420.0,Lithium-ion,5
4963,1966,1390,420.0,Lithium-ion,5
4963,1966,1390,410.0,Lithium-ion,5
4963,1966,1379,940.0,Lithium-ion,5
4974,1967,1412,940.0,Lithium-ion,5
4968,1966,1378,1340.0,Lithium-ion,5
4968,1966,1378,1340.0,Lithium-ion,2
4963,1966,1378,1110.0,Lithium-ion,5
4974,1967,1407,1110.0,Lithium-ion,5
4963,1966,1388,1110.0,Lithium-ion,5
4963,1966,1392,940.0,Lithium-ion,5
4143,1796,1552,225.0,Lithium-ion,5
4143,1796,1552,245.0,Lithium-ion,5
